"Drink","ml"
"Black Tea",237
"Chá de Boldo",150
"Chá de Hortelã",150
"Chimarrão",150
"Coca Cola",355
"Coca Cola Zero",355
"Coffee",208
"Coffee (Espresso)",30
"Erva Mate",150
"Green Tea",237
"Guaraná Antartica",355
"Guaraná Antartica Diet",355
"Ice Tea",355
"Oolong Tea",237
"Redbull",255
"Redbull (sugar free)",255
"Terere",100
"White Tea",237
